seq,t_send_ns,t_recv_ns,rtt_us
626,22133677089109,22133685187605,8098
627,22133726771660,22133733529933,6758
628,22133776657130,22133783723196,7066
629,22133826972579,22133833950749,6978
630,22133877092640,22133884313644,7221
631,22133927117735,22133934766165,7648
632,22133976861927,22133986321010,9459
633,22134026936107,22134034107682,7171
634,22134076783453,22134084559845,7776
635,22134127129544,22134134275203,7145
636,22134177034282,22134185104184,8069
637,22134227025137,22134235100538,8075
638,22134276811799,22134284987841,8176
639,22134327169525,22134335429124,8259
640,22134377017303,22134385797680,8780
641,22134426654010,22134436149667,9495
642,22134477107266,22134485423543,8316
643,22134526689251,22134534018021,7328
644,22134576911457,22134584283926,7372
645,22134626779180,22134636114834,9335
646,22134676698764,22134688467005,11768
647,22134726764917,22134733901127,7136
648,22134776981157,22134785168347,8187
649,22134826875560,22134834064152,7188
650,22134876744934,22134883839332,7094
651,22134927038705,22134933635479,6596
652,22134977153167,22134983608960,6455
653,22135026997902,22135033599684,6601
654,22135076671728,22135084558066,7886
655,22135127238168,22135133913139,6674
656,22135176698276,22135184594608,7896
657,22135226693537,22135234188414,7494
658,22135276668826,22135284316883,7648
659,22135327073497,22135335160002,8086
660,22135376669134,22135384877215,8208
661,22135427061975,22135435783572,8721
662,22135476781627,22135484799643,8018
663,22135526965307,22135534022319,7057
664,22135576622177,22135585052378,8430
665,22135627129772,22135633850899,6721
666,22135676863047,22135684995866,8132
667,22135727160685,22135734777440,7616
668,22135777130594,22135784628753,7498
669,22135827194347,22135834783573,7589
670,22135876880114,22135883887362,7007
671,22135927047252,22135934153045,7105
672,22135976947938,22135984118175,7170
673,22136027084544,22136035520657,8436
674,22136077181835,22136082213048,5031
675,22136126692366,22136135921853,9229
676,22136176929386,22136184745903,7816
677,22136227029883,22136236218722,9188
678,22136277069552,22136284951609,7882
679,22136326775943,22136334455411,7679
680,22136377223948,22136384751139,7527
681,22136426806513,22136432934076,6127
682,22136477080342,22136484093725,7013
683,22136527231569,22136535140206,7908
684,22136576811023,22136584825191,8014
685,22136627100073,22136635071882,7971
686,22136676822847,22136684417140,7594
687,22136726955299,22136734548094,7592
688,22136777183147,22136785983091,8799
689,22136827210252,22136834753283,7543
690,22136877412824,22136884818773,7405
691,22136926939652,22136934182561,7242
692,22136977097436,22136985644082,8546
693,22137027025732,22137034696858,7671
694,22137076648582,22137081122509,4473
695,22137126757554,22137133788162,7030
696,22137176788674,22137185262298,8473
697,22137227218201,22137233152295,5934
698,22137276978759,22137286147373,9168
699,22137326869057,22137334421098,7552
700,22137377010867,22137385133739,8122
701,22137427135468,22137435077260,7941
702,22137477367296,22137481920542,4553
703,22137527221278,22137535133020,7911
704,22137577097590,22137585440425,8342
705,22137626603372,22137634347838,7744
706,22137676924357,22137685579118,8654
707,22137726962903,22137735909568,8946
708,22137776989491,22137784781001,7791
709,22137827014682,22137833788256,6773
710,22137877077103,22137884269948,7192
711,22137926851594,22137933089657,6238
712,22137976793261,22137985456217,8662
713,22138027344861,22138034267654,6922
714,22138077079204,22138083752872,6673
715,22138127340484,22138135453410,8112
716,22138177127530,22138185189734,8062
717,22138226775308,22138235017197,8241
718,22138276862746,22138284371489,7508
719,22138327105150,22138335223831,8118
720,22138377143842,22138385576321,8432
721,22138426768950,22138433966305,7197
722,22138476731870,22138485992294,9260
723,22138526707692,22138534257823,7550
724,22138577093556,22138584854473,7760
725,22138627242251,22138634862901,7620
726,22138676720856,22138685054341,8333
727,22138727086655,22138733811394,6724
728,22138776846565,22138785112070,8265
729,22138827211974,22138835354210,8142
730,22138876966916,22138884991357,8024
731,22138926787694,22138934106929,7319
732,22138977383796,22138985068430,7684
733,22139027476375,22139035703400,8227
734,22139076881144,22139085395649,8514
735,22139127073613,22139135157487,8083
736,22139176731171,22139185377220,8646
737,22139226729928,22139233867716,7137
738,22139277047206,22139285288143,8240
739,22139327073454,22139334058904,6985
740,22139376878273,22139385184969,8306
741,22139426720049,22139434418166,7698
742,22139477109345,22139484601192,7491
743,22139526918215,22139532689159,5770
744,22139577313036,22139584859418,7546
745,22139626716769,22139634557236,7840
746,22139676842991,22139685539075,8696
747,22139726864221,22139732547244,5683
748,22139777206371,22139785856306,8649
749,22139827003683,22139834334523,7330
750,22139876713517,22139884037196,7323
751,22139927063578,22139931136104,4072
752,22139977133346,22139984763815,7630
753,22140027054119,22140033093291,6039
754,22140076674823,22140081651414,4976
755,22140126984677,22140136134820,9150
756,22140176956698,22140184657334,7700
757,22140227077998,22140234099806,7021
758,22140276903825,22140284801774,7897
759,22140326718358,22140333911527,7193
760,22140376867961,22140384392983,7525
761,22140426666984,22140434130867,7463
762,22140476669272,22140484322618,7653
763,22140526696483,22140533818644,7122
764,22140576678910,22140584276136,7597
765,22140626738113,22140633701005,6962
766,22140676663660,22140681482456,4818
767,22140726744703,22140734383548,7638
768,22140776682601,22140784622047,7939
769,22140826734950,22140833808401,7073
770,22140876680481,22140884153835,7473
771,22140926663139,22140933811091,7147
772,22140976729157,22140984588670,7859
773,22141026704243,22141032719866,6015
774,22141076696443,22141080550312,3853
775,22141126629470,22141133755088,7125
776,22141176648565,22141184615179,7966
777,22141226671893,22141233955954,7284
778,22141276739122,22141284234466,7495
779,22141326654255,22141334007787,7353
780,22141376652148,22141384418585,7766
781,22141426747730,22141433859773,7112
782,22141476716691,22141484691210,7974
783,22141526930868,22141533807645,6876
784,22141576731469,22141583993566,7262
785,22141626792750,22141635310257,8517
786,22141677185551,22141686380040,9194
787,22141726629047,22141734189903,7560
788,22141776652685,22141784419623,7766
789,22141826650877,22141834265171,7614
790,22141876726953,22141884457564,7730
791,22141926696953,22141933802802,7105
792,22141976697542,22141985567174,8869
793,22142026740636,22142033752622,7011
794,22142076627042,22142080544333,3917
795,22142126654904,22142135956670,9301
796,22142176683233,22142183901339,7218
797,22142226690017,22142235182909,8492
798,22142276730563,22142284567571,7837
799,22142326661422,22142333770358,7108
800,22142376740011,22142384504759,7764
801,22142426911849,22142433989047,7077
802,22142477066391,22142484822523,7756
803,22142526711817,22142533842797,7130
804,22142576700156,22142583501842,6801
805,22142626713184,22142632944391,6231
806,22142676690944,22142684517129,7826
807,22142726708007,22142733824080,7116
808,22142776664710,22142784390871,7726
809,22142826858259,22142834092988,7234
810,22142876744635,22142884359906,7615
811,22142926756077,22142934046489,7290
812,22142976653073,22142984519351,7866
813,22143026726548,22143033828380,7101
814,22143076653769,22143084175283,7521
815,22143126715169,22143134048670,7333
816,22143176671118,22143184272161,7601
817,22143226679579,22143234151701,7472
818,22143276765615,22143284919585,8153
