phase,seq,flag,min_mm,local_v,local_w,edge_v,edge_w,t_send_s,rtt_ms,v_out,w_out,mode,state,switch_us,n_sw,bad_lines,ok
paced,321,0,318,220,0,150,409,45.896795,,,,,,,,,0
paced,322,0,191,220,0,150,327,46.100142,2.175,150,327,0,2,0,2,17,1
paced,323,0,242,220,0,150,1489,46.102371,,,,,,,,,0
paced,324,0,411,220,0,150,754,46.318864,,,,,,,,,0
paced,325,0,253,220,0,150,-725,46.522286,2.534,150,-725,0,1,0,2,25,1
paced,326,0,235,220,0,150,-1251,46.524866,,,,,,,,,0
paced,327,0,781,220,0,150,1628,46.739533,,,,,,,,,0
paced,328,0,233,220,0,150,2,46.956324,2.401,150,2,0,1,0,2,25,1
paced,329,0,396,220,0,150,1665,46.958798,,,,,,,,,0
paced,330,0,541,220,0,150,1467,47.174559,,,,,,,,,0
paced,331,0,593,220,0,150,-193,47.378515,,,,,,,,,0
paced,332,0,318,220,0,150,-487,47.580535,,,,,,,,,0
paced,333,0,598,220,0,150,-1303,47.782953,,,,,,,,,0
paced,334,0,787,220,0,150,178,47.987003,3.208,150,178,0,0,0,2,25,1
paced,335,0,367,220,0,150,-1332,47.990305,2.373,150,-1332,0,1,0,2,25,1
paced,336,0,591,220,0,150,640,47.992738,,,,,,,,,0
paced,337,0,696,220,0,150,-148,48.206621,,,,,,,,,0
paced,338,0,270,220,0,150,885,48.408977,,,,,,,,,0
paced,339,0,452,220,0,150,-683,48.611193,3.272,150,-683,0,0,0,2,25,1
paced,340,0,404,220,0,150,-269,48.614549,,,,,,,,,0
paced,341,0,722,220,0,150,-1804,48.816173,2.907,150,-1804,0,0,0,2,25,1
paced,342,0,344,220,0,150,344,48.819154,,,,,,,,,0
paced,343,0,599,220,0,150,551,49.035359,,,,,,,,,0
paced,344,0,171,220,0,150,-1694,49.239257,2.368,150,-1694,0,2,0,2,25,1
paced,345,0,792,220,0,150,660,49.241666,,,,,,,,,0
paced,346,0,398,220,0,150,1601,49.443169,2.543,150,1601,0,1,0,2,25,1
paced,347,0,416,220,0,150,-974,49.445762,,,,,,,,,0
paced,348,0,327,220,0,150,-654,49.661493,,,,,,,,,0
paced,349,0,301,220,0,150,401,49.866230,2.952,150,401,0,1,0,2,25,1
paced,350,0,355,220,0,150,-701,49.869270,2.377,150,-701,0,1,0,2,25,1
paced,351,0,468,220,0,150,579,49.871702,,,,,,,,,0
paced,352,0,406,220,0,150,1589,50.083266,2.682,150,1589,0,0,0,2,25,1
paced,353,0,607,220,0,150,1420,50.086025,,,,,,,,,0
paced,354,0,322,220,0,150,413,50.288540,,,,,,,,,0
paced,355,0,515,220,0,150,190,50.491501,,,,,,,,,0
paced,356,0,580,220,0,150,1684,50.693294,,,,,,,,,0
paced,357,0,274,220,0,150,1330,50.896024,2.504,150,1330,0,1,0,2,25,1
paced,358,0,363,220,0,150,516,50.898586,,,,,,,,,0
paced,359,0,542,220,0,150,-982,51.113865,3.064,150,-982,0,0,0,2,25,1
paced,360,0,440,220,0,150,1500,51.117017,,,,,,,,,0
paced,361,0,260,220,0,150,1487,51.332526,,,,,,,,,0
paced,362,0,174,220,0,150,-1337,51.538096,2.479,150,-1337,0,2,0,2,25,1
paced,363,0,732,220,0,150,1240,51.540624,,,,,,,,,0
paced,364,0,163,220,0,150,413,51.743024,2.600,150,413,0,2,0,2,25,1
paced,365,0,453,220,0,150,940,51.745675,,,,,,,,,0
paced,366,0,289,220,0,150,-1513,51.946739,,,,,,,,,0
paced,367,0,662,220,0,150,-290,52.151208,2.715,150,-290,0,0,0,2,33,1
