step,t_ns,elapsed_s,n_up,n_down,bytes_up,bytes_down,iat_med_up_ms,iat_p90_up_ms,iat_max_up_ms,iat_mad_up_ms,burst_up,iat_med_down_ms,iat_p90_down_ms,iat_max_down_ms,iat_mad_down_ms,burst_down,updown_ratio,pair_n,pair_med_ms,pair_min_ms,pair_max_ms,q_up_ms,q_down_ms,q_pair_ms,q_hat_ms,q_min_ms,baseline_done,degraded,t_det_meta_ns
187,1790085537079165952,18.7,19,16,1872,1536,49.982,50.952,53.09,0.81,1,49.936,52.979,53.459,1.223,1,1.2188,16,202.822,201.859,203.695,,,,,,0,0,
188,1790085537179165952,18.8,19,18,1904,1728,49.982,50.952,52.958,0.744,1,49.734,52.473,53.459,1.116,1,1.1019,18,202.818,201.859,203.695,,,,,,0,0,
189,1790085537279165952,18.9,19,19,1936,1824,50.048,50.952,52.958,0.821,1,49.729,51.049,53.459,0.953,1,1.0614,19,202.821,201.859,202.934,,,,,,0,0,
190,1790085537379165952,19.0,19,19,1968,1824,49.958,50.974,52.958,0.886,1,49.729,51.049,52.975,0.85,1,1.0789,19,202.822,201.859,202.934,,,,,,0,0,
191,1790085537479165952,19.1,19,19,2000,1824,49.958,51.034,52.958,0.953,1,49.729,51.049,52.975,0.931,1,1.0965,19,202.815,201.859,202.934,,,,,,0,0,
192,1790085537579165952,19.2,19,19,2032,1824,50.167,50.974,52.958,0.869,1,49.708,51.166,52.975,0.979,1,1.114,19,202.782,201.859,202.899,,,,,,0,0,
193,1790085537679165952,19.3,19,19,2064,1824,50.106,50.974,52.958,0.819,1,49.729,51.304,52.975,1.089,1,1.1316,19,202.782,201.859,202.899,,,,,,0,0,
194,1790085537779165952,19.4,19,19,2096,1824,50.083,50.974,52.958,0.741,1,49.987,51.166,52.975,0.996,1,1.1491,19,202.821,201.958,202.969,,,,,,0,0,
195,1790085537879165952,19.5,19,19,2128,1824,50.083,50.974,52.958,0.879,1,49.879,51.166,52.975,0.92,1,1.1667,19,202.824,201.958,202.969,,,,,,0,0,
196,1790085537979165952,19.6,19,19,2128,1824,50.083,51.034,52.958,1.115,1,49.879,51.166,52.975,0.843,1,1.1667,19,202.827,201.958,202.969,,,,,,0,0,
197,1790085538079165952,19.7,19,19,2128,1824,50.083,51.034,52.591,0.97,1,50.081,51.166,52.975,0.931,1,1.1667,19,202.827,201.996,202.969,,,,,,0,0,
198,1790085538179165952,19.8,19,19,2128,1824,50.083,52.436,53.378,1.239,1,50.081,51.304,52.975,1.115,1,1.1667,19,202.827,202.548,202.969,,,,,,0,0,
199,1790085538279165952,19.9,19,19,2128,1824,50.083,52.436,53.378,1.198,1,50.081,51.304,52.507,0.963,1,1.1667,19,202.827,202.548,202.969,,,,,,0,0,
200,1790085538379165952,20.0,19,19,2128,1824,50.022,52.436,53.378,1.105,1,50.081,52.387,53.363,1.238,1,1.1667,19,202.828,202.548,202.969,,,,,,0,0,
201,1790085538479165952,20.1,19,19,2128,1824,50.007,52.436,53.378,1.088,1,50.081,52.387,53.363,1.178,1,1.1667,19,202.835,202.54,202.969,,,,,,0,0,
202,1790085538579165952,20.2,19,19,2128,1824,50.007,52.436,53.378,1.078,1,50.064,52.387,53.363,1.047,1,1.1667,19,202.828,202.54,202.969,,,,,,0,0,
203,1790085538679165952,20.3,19,19,2128,1824,50.007,52.436,53.378,1.09,1,49.992,52.387,53.363,1.028,1,1.1667,19,202.827,202.54,202.929,,,,,,0,0,
204,1790085538779165952,20.4,19,19,2128,1824,50.007,52.436,53.378,1.015,1,50.075,52.387,53.363,1.042,1,1.1667,19,202.828,202.54,202.955,,,,,,0,0,
